éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
õØ	5CB7	0	22065
õ∞	5CC5	0	22066
õ±	5CBE	0	22067
õ≤	5CC7	0	22068
õ¥	5CE9	0	22070
õµ	5CFD	0	22071
õ∂	5CFA	0	22072
õ∏	5D8C	0	22074
õπ	5CEA	0	22075
õΩ	5D5C	0	22079
õæ	5D1F	0	22080
õø	5D1B	0	22081
õ¬	5D22	0	22084
õ√	5D1A	0	22085
õ≈	5D18	0	22087
õ«	5D52	0	22089
õ»	5D4E	0	22090
õ…	5D4B	0	22091
õ 	5D6C	0	22092
õÀ	5D73	0	22093
õÃ	5D76	0	22094
õÕ	5D87	0	22095
õŒ	5D84	0	22096
õœ	5D82	0	22097
õ–	5DA2	0	22098
õ—	5D9D	0	22099
õ“	5DAC	0	22100
õ’	5D90	0	22103
õ÷	5DB7	0	22104
õÿ	5DC9	0	22106
õ‹	5DD6	0	22110
õ›	5DDB	0	22111
õ‡	5DF5	0	22114
õ·	5E0B	0	22115
õ„	5E19	0	22117
õ‰	5E11	0	22118
õÊ	5E36	0	22120
õÈ	5E43	0	22123
õÎ	5E4E	0	22125
õÏ	5E57	0	22126
õÔ	5E62	0	22129
õ	5E64	0	22130
õÚ	5E75	0	22132
õÙ	5E7A	0	22134
õı	9EBC	0	22135
õˆ	5E7F	0	22136
õ˜	5EA0	0	22137
õ¯	5EC1	0	22138
õ˙	5EC8	0	22140
õ˚	5ED0	0	22141
õ¸	5ECF	0	22142
ú@	5ED6	0	22305
úA	5EE3	0	22306
úB	5EDD	0	22307
úC	5EDA	0	22308
úD	5EDB	0	22309
úE	5EE2	0	22310
úF	5EE1	0	22311
úG	5EE8	0	22312
úH	5EE9	0	22313
úJ	5EF1	0	22315
úK	5EF3	0	22316
úL	5EF0	0	22317
úM	5EF4	0	22318
úN	5EF8	0	22319
úO	5EFE	0	22320
úP	5F03	0	22321
úQ	5F09	0	22322
úS	5F5C	0	22324
úV	5F16	0	22327
úX	5F2D	0	22329
úY	5F38	0	22330
úZ	5F41	0	22331
ú[	5F48	0	22332
ú\	5F4C	0	22333
ú^	5F2F	0	22335
ú_	5F51	0	22336
ú`	5F56	0	22337
úc	5F61	0	22340
úd	5F6D	0	22341
úg	5F83	0	22344
úh	5F82	0	22345
úk	5F88	0	22348
úl	5F91	0	22349
úm	5F87	0	22350
ún	5F9E	0	22351
úq	5FA0	0	22354
ús	5FAD	0	22356
út	5FBC	0	22357
úu	5FD6	0	22358
úv	5FFB	0	22359
úw	5FE4	0	22360
úx	5FF8	0	22361
úy	5FF1	0	22362
úÅ	6010	0	22369
úÇ	6029	0	22370
úÉ	600E	0	22371
úÑ	6031	0	22372
úá	602B	0	22375
úà	6026	0	22376
úå	6041	0	22380
úé	6077	0	22382
úê	604A	0	22384
úë	6046	0	22385
úï	6064	0	22389
úñ	6042	0	22390
úö	6081	0	22394
úù	6083	0	22397
ú†	609B	0	22562
ú¢	6097	0	22564
ú•	608B	0	22567
ú¶	60E1	0	22568
ú®	60E0	0	22570
ú©	60D3	0	22571
ú≠	60C6	0	22575
ú∞	614D	0	22578
ú¥	60F7	0	22582
úµ	6100	0	22583
ú∂	60F4	0	22584
ú∑	60FA	0	22585
ú∏	6103	0	22586
úπ	6121	0	22587
úΩ	610E	0	22591
ú¿	6128	0	22594
ú√	613F	0	22597
úƒ	613C	0	22598
ú«	613D	0	22601
úÃ	6158	0	22606
ú–	6174	0	22610
ú—	616F	0	22611
ú”	6171	0	22613
ú’	615D	0	22615
ú◊	6175	0	22617
úÿ	6199	0	22618
ú⁄	6187	0	22620
ú€	61AC	0	22621
ú‚	61CC	0	22628
ú‰	61C9	0	22630
úÂ	61F7	0	22631
úË	61C6	0	22634
úÍ	61CB	0	22636
úÏ	61CD	0	22638
úÒ	61F4	0	22643
úÚ	61FF	0	22644
úÛ	61FD	0	22645
úı	61FE	0	22647
úˆ	6200	0	22648
ú¯	6209	0	22650
ú˚	6214	0	22653
ùA	6221	0	22818
ùD	6230	0	22821
ùE	6232	0	22822
ùF	6233	0	22823
ùH	624E	0	22825
ùI	625E	0	22826
ùJ	6263	0	22827
ùK	625B	0	22828
ùL	6260	0	22829
ùO	6282	0	22832
ùQ	627E	0	22834
ùT	6296	0	22837
ùU	62D4	0	22838
ùW	6294	0	22840
ùY	62D1	0	22842
ùZ	62BB	0	22843
ù[	62CF	0	22844
ù\	62FF	0	22845
ù]	62C6	0	22846
ù^	64D4	0	22847
ù`	62DC	0	22849
ùa	62CC	0	22850
ùc	62C2	0	22852
ùg	630C	0	22856
ùj	6327	0	22859
ùk	6302	0	22860
ùl	6308	0	22861
ùm	62EF	0	22862
ùq	634D	0	22866
ùr	641C	0	22867
ùu	638E	0	22870
ùv	6380	0	22871
ùw	63AB	0	22872
ùx	6376	0	22873
ù}	63B5	0	22878
ùÅ	63BE	0	22881
ùÇ	63E9	0	22882
ùÉ	63C0	0	22883
ùä	6416	0	22890
ùã	6434	0	22891
ùå	6406	0	22892
ùç	6413	0	22893
ùè	6436	0	22895
ùê	651D	0	22896
ùí	6428	0	22898
ùó	644E	0	22903
ùô	6495	0	22905
ùú	64A9	0	22908
ùü	64DA	0	23073
ù¢	64C7	0	23076
ùß	64E7	0	23081
ù®	8209	0	23082
ù´	62AC	0	23085
ùÆ	652C	0	23088
ùØ	64F6	0	23089
ù∞	64F4	0	23090
ù≤	64FA	0	23092
ù∂	651C	0	23096
ù∑	6505	0	23097
ù∏	6524	0	23098
ùª	6534	0	23101
ùº	6535	0	23102
ùΩ	6537	0	23103
ùæ	6536	0	23104
ùø	6538	0	23105
ù¿	754B	0	23106
ù¡	6548	0	23107
ù√	6555	0	23109
ùƒ	654D	0	23110
ù≈	6558	0	23111
ù∆	655E	0	23112
ù«	655D	0	23113
ù…	6578	0	23115
ù 	6582	0	23116
ùÃ	8B8A	0	23118
ùÕ	659B	0	23119
ù–	65B7	0	23122
ù“	65C6	0	23124
ù÷	65D2	0	23128
ù◊	65DB	0	23129
ùÿ	65D9	0	23130
ùŸ	65E0	0	23131
ù⁄	65E1	0	23132
ù€	65F1	0	23133
ù‹	6772	0	23134
ù›	660A	0	23135
ùﬁ	6603	0	23136
ùﬂ	65FB	0	23137
ù·	6635	0	23139
ù‚	6636	0	23140
ù„	6634	0	23141
ù‰	661C	0	23142
ùÊ	6644	0	23144
ùÁ	6649	0	23145
ùÈ	665E	0	23147
ùÍ	665D	0	23148
ùÏ	6667	0	23150
ùÌ	6668	0	23151
ùÓ	665F	0	23152
ùÔ	6662	0	23153
ùÒ	6683	0	23155
ùÛ	668E	0	23157
ùı	6684	0	23159
ùˆ	6698	0	23160
ù˜	669D	0	23161
ù¯	66C1	0	23162
ù˘	66B9	0	23163
ù˙	66C9	0	23164
ù˚	66BE	0	23165
ù¸	66BC	0	23166
û@	66C4	0	23329
ûA	66B8	0	23330
ûE	663F	0	23334
ûF	66E6	0	23335
ûI	66F5	0	23338
ûJ	66F7	0	23339
ûK	670F	0	23340
ûL	6716	0	23341
ûM	671E	0	23342
ûP	9738	0	23345
ûQ	672E	0	23346
ûR	673F	0	23347
ûT	6741	0	23349
ûU	6738	0	23350
ûV	6737	0	23351
ûY	6760	0	23354
ûZ	6759	0	23355
û[	6763	0	23356
û\	6764	0	23357
û^	6770	0	23359
û_	67A9	0	23360
û`	677C	0	23361
ûa	676A	0	23362
ûb	678C	0	23363
ûc	678B	0	23364
ûd	67A6	0	23365
ûf	6785	0	23367
ûh	67EF	0	23369
ûi	67B4	0	23370
ûj	67EC	0	23371
ûm	67B8	0	23374
ûn	67E4	0	23375
ûo	67DE	0	23376
ûp	67DD	0	23377
ûr	67EE	0	23379
ûs	67B9	0	23380
ût	67CE	0	23381
ûu	67C6	0	23382
ûv	67E7	0	23383
ûx	681E	0	23385
ûz	6829	0	23387
û|	684D	0	23389
ûÅ	682B	0	23393
ûÇ	6859	0	23394
ûÉ	6863	0	23395
ûÑ	6877	0	23396
ûÖ	687F	0	23397
ûà	68AD	0	23400
ûã	689B	0	23403
ûç	6AAE	0	23405
ûé	68B9	0	23406
ûè	6874	0	23407
ûë	68A0	0	23409
ûí	68BA	0	23410
ûì	690F	0	23411
ûî	688D	0	23412
ûï	687E	0	23413
ûñ	6901	0	23414
ûó	68CA	0	23415
ûò	6908	0	23416
ûô	68D8	0	23417
ûö	6922	0	23418
ûõ	6926	0	23419
ûú	68E1	0	23420
ûù	690C	0	23421
ûû	68CD	0	23422
ûü	68D4	0	23585
û†	68E7	0	23586
û¢	6936	0	23588
û£	6912	0	23589
û§	6904	0	23590
û•	68D7	0	23591
û¶	68E3	0	23592
ûß	6925	0	23593
û©	68E0	0	23595
û™	68EF	0	23596
û´	6928	0	23597
û¨	692A	0	23598
û≠	691A	0	23599
ûÆ	6923	0	23600
ûØ	6921	0	23601
û∞	68C6	0	23602
û±	6979	0	23603
û≤	6977	0	23604
û≥	695C	0	23605
û¥	6978	0	23606
û∑	697E	0	23609
û∏	696E	0	23610
ûπ	6939	0	23611
û∫	6974	0	23612
ûº	6959	0	23614
ûø	695E	0	23617
û¿	695D	0	23618
û¡	6981	0	23619
û¬	696A	0	23620
û√	69B2	0	23621
ûƒ	69AE	0	23622
û∆	69BF	0	23624
û«	69C1	0	23625
û…	69BE	0	23627
û 	69CE	0	23628
ûÀ	5BE8	0	23629
ûÃ	69CA	0	23630
ûÕ	69DD	0	23631
û—	6A2E	0	23635
û“	6991	0	23636
û”	69A0	0	23637
û’	6995	0	23639
û◊	69DE	0	23641
ûÿ	69E8	0	23642
ûŸ	6A02	0	23643
û⁄	6A1B	0	23644
û€	69FF	0	23645
û‹	6B0A	0	23646
û›	69F9	0	23647
ûﬂ	69E7	0	23649
û·	69B1	0	23651
û‚	6A1E	0	23652
û„	69ED	0	23653
û‰	6A14	0	23654
ûÂ	69EB	0	23655
ûË	6AC1	0	23658
ûÈ	6A23	0	23659
ûÍ	6A13	0	23660
ûÏ	6A0C	0	23662
ûÌ	6A72	0	23663
ûÓ	6A36	0	23664
ûÔ	6A78	0	23665
ûÒ	6A62	0	23667
ûÛ	6A66	0	23669
ûÙ	6A48	0	23670
ûˆ	6A22	0	23672
û¯	6A8D	0	23674
û˚	6AA2	0	23677
û¸	6AA3	0	23678
ü@	6A97	0	23841
üD	6AC2	0	23845
üE	6AB8	0	23846
üF	6AB3	0	23847
üG	6AAC	0	23848
üH	6ADE	0	23849
üI	6AD1	0	23850
üJ	6ADF	0	23851
üK	6AAA	0	23852
üM	6AEA	0	23854
üN	6AFB	0	23855
üP	8616	0	23857
üQ	6AFA	0	23858
üU	6B1F	0	23862
üX	76DC	0	23865
üZ	98EE	0	23867
ü\	6B43	0	23869
ü^	6B50	0	23871
ü_	6B59	0	23872
üa	6B5B	0	23874
üb	6B5F	0	23875
üc	6B61	0	23876
üd	6B78	0	23877
üe	6B79	0	23878
üg	6B80	0	23880
üh	6B84	0	23881
üi	6B83	0	23882
üj	6B8D	0	23883
ük	6B98	0	23884
ül	6B95	0	23885
ün	6BA4	0	23887
üp	6BAB	0	23889
üq	6BAF	0	23890
ür	6BB2	0	23891
üs	6BB1	0	23892
üt	6BB3	0	23893
üw	6BC6	0	23896
üx	6BCB	0	23897
üy	6BD3	0	23898
ü}	6BF3	0	23902
üÇ	6C13	0	23906
üÉ	6C14	0	23907
üÑ	6C1B	0	23908
üÖ	6C24	0	23909
üÜ	6C23	0	23910
üá	6C5E	0	23911
üà	6C55	0	23912
üâ	6C62	0	23913
üã	6C82	0	23915
üå	6C8D	0	23916
üç	6C9A	0	23917
üê	6C7E	0	23920
üí	6C73	0	23922
üì	6C92	0	23923
üñ	6CF1	0	23926
üó	6CD3	0	23927
üô	6CD7	0	23929
üö	6CC5	0	23930
üõ	6CDD	0	23931
üù	6CB1	0	23933
üü	6CBA	0	24097
ü°	6CEF	0	24099
ü¢	6CD9	0	24100
ü¶	6D36	0	24104
üß	6D2B	0	24105
ü®	6D3D	0	24106
ü©	6D38	0	24107
ü™	6D19	0	24108
ü´	6D35	0	24109
ü∞	6D93	0	24114
ü±	6D64	0	24115
ü≥	6D79	0	24117
üπ	6DF9	0	24123
ü∫	6E15	0	24124
üª	6E0A	0	24125
üº	6DB5	0	24126
üΩ	6DC7	0	24127
üæ	6DE6	0	24128
ü¡	6DEC	0	24131
ü¬	6DDE	0	24132
ü√	6DCC	0	24133
üƒ	6DE8	0	24134
ü≈	6DD2	0	24135
ü∆	6DC5	0	24136
ü«	6DFA	0	24137
ü»	6DD9	0	24138
ü 	6DD5	0	24140
üÃ	6DEE	0	24142
üœ	6E2E	0	24145
ü–	6E19	0	24146
ü—	6E72	0	24147
ü“	6E5F	0	24148
ü‘	6E23	0	24150
ü’	6E6B	0	24151
ü÷	6E2B	0	24152
ü◊	6E76	0	24153
üÿ	6E4D	0	24154
üŸ	6E1F	0	24155
ü›	6E24	0	24159
üﬁ	6EFF	0	24160
ü‚	6EAA	0	24164
ü„	6E98	0	24165
ü‰	6EC9	0	24166
üÁ	6EBD	0	24169
üÍ	6EB2	0	24172
üÏ	6ED5	0	24174
üÌ	6E8F	0	24175
üÓ	6EA5	0	24176
üÔ	6EC2	0	24177
ü	6E9F	0	24178
üÒ	6F41	0	24179
üÙ	6EEC	0	24182
üˆ	6EFE	0	24184
ü˙	6EEF	0	24188
ü¸	6ECC	0	24190
‡A	6F13	0	24354
‡B	6EF7	0	24355
‡C	6F86	0	24356
‡D	6F7A	0	24357
‡E	6F78	0	24358
‡F	6F81	0	24359
‡G	6F80	0	24360
‡H	6F6F	0	24361
‡I	6F5B	0	24362
‡J	6FF3	0	24363
‡K	6F6D	0	24364
‡L	6F82	0	24365
‡M	6F7C	0	24366
‡N	6F58	0	24367
‡P	6F91	0	24369
‡Q	6FC2	0	24370
‡R	6F66	0	24371
‡S	6FB3	0	24372
‡T	6FA3	0	24373
‡U	6FA1	0	24374
‡V	6FA4	0	24375
‡X	6FC6	0	24377
‡Y	6FAA	0	24378
‡Z	6FDF	0	24379
‡[	6FD5	0	24380
‡\	6FEC	0	24381
‡]	6FD4	0	24382
‡_	6FF1	0	24384
‡`	6FEE	0	24385
‡b	7009	0	24387
‡c	700B	0	24388
‡f	7001	0	24391
‡g	700F	0	24392
‡i	701B	0	24394
‡j	701A	0	24395
‡k	6F74	0	24396
‡m	7018	0	24398
‡n	701F	0	24399
‡o	7030	0	24400
‡q	7032	0	24402
‡s	7063	0	24404
‡u	7092	0	24406
‡z	70B3	0	24411
‡{	70AE	0	24412
‡}	70CB	0	24414
‡~	70DD	0	24415
‡Ç	70FD	0	24418
‡É	711C	0	24419
‡Ñ	7119	0	24420
‡Ü	7155	0	24422
‡á	7188	0	24423
‡à	7166	0	24424
‡â	7162	0	24425
‡ç	718F	0	24429
‡ê	7195	0	24432
‡í	71AC	0	24434
‡î	71B9	0	24436
‡ñ	71D2	0	24438
‡ó	71C9	0	24439
‡ò	71D4	0	24440
‡ô	71CE	0	24441
‡ö	71E0	0	24442
‡ü	71F9	0	24609
‡°	720D	0	24611
‡¢	7210	0	24612
‡§	7228	0	24614
‡•	722D	0	24615
‡¶	722C	0	24616
‡®	7232	0	24618
‡©	723B	0	24619
‡´	723F	0	24621
‡≠	7246	0	24623
‡Æ	724B	0	24624
‡Ø	7258	0	24625
‡∞	7274	0	24626
‡±	727E	0	24627
‡≤	7282	0	24628
‡∂	7296	0	24632
‡∑	72A2	0	24633
‡∏	72A7	0	24634
‡π	72B9	0	24635
‡∫	72B2	0	24636
‡ª	72C3	0	24637
‡º	72C6	0	24638
‡Ω	72C4	0	24639
‡¿	72E2	0	24642
‡¡	72E0	0	24643
‡√	72F9	0	24645
‡ƒ	72F7	0	24646
‡≈	500F	0	24647
‡∆	7317	0	24648
‡«	730A	0	24649
‡ 	731D	0	24652
‡Ã	732F	0	24654
‡–	734E	0	24658
‡—	734F	0	24659
‡“	9ED8	0	24660
‡’	7368	0	24663
‡◊	7378	0	24665
‡ÿ	7375	0	24666
‡Ÿ	737B	0	24667
‡⁄	737A	0	24668
‡‹	73B3	0	24670
‡›	73CE	0	24671
‡‡	73E5	0	24674
‡·	73EE	0	24675
‡‚	73DE	0	24676
‡„	74A2	0	24677
‡Â	746F	0	24679
‡Á	73F8	0	24681
‡È	743A	0	24683
‡Î	743F	0	24685
‡Ó	7441	0	24688
‡Ô	745C	0	24689
‡	7469	0	24690
‡Ò	7470	0	24691
‡Ù	7476	0	24694
‡ı	747E	0	24695
‡ˆ	748B	0	24696
‡˘	74CA	0	24699
‡˚	74D4	0	24701
‡¸	73F1	0	24702
·@	74E0	0	24865
·A	74E3	0	24866
·B	74E7	0	24867
·C	74E9	0	24868
·D	74EE	0	24869
·E	74F2	0	24870
·F	74F0	0	24871
·G	74F1	0	24872
·H	74F8	0	24873
·I	74F7	0	24874
·J	7504	0	24875
·L	7505	0	24877
·M	750C	0	24878
·N	750E	0	24879
·Q	7513	0	24882
·R	751E	0	24883
·S	7526	0	24884
·T	752C	0	24885
·U	753C	0	24886
·V	7544	0	24887
·W	754D	0	24888
·X	754A	0	24889
·Y	7549	0	24890
·Z	755B	0	24891
·[	7546	0	24892
·\	755A	0	24893
·]	7569	0	24894
·^	7564	0	24895
·_	7567	0	24896
·`	756B	0	24897
·a	756D	0	24898
·c	7576	0	24900
·d	7586	0	24901
·e	7587	0	24902
·f	7574	0	24903
·g	758A	0	24904
·h	7589	0	24905
·i	7582	0	24906
·j	7594	0	24907
·m	75A5	0	24910
·o	75C2	0	24912
·q	75C3	0	24914
·s	75BD	0	24916
·t	75B8	0	24917
·v	75B1	0	24919
·x	75CA	0	24921
·|	75DE	0	24925
·~	75FF	0	24927
·Ä	75FC	0	24928
·Å	7601	0	24929
·Ñ	75F2	0	24932
·Ö	75F3	0	24933
·Ü	760B	0	24934
·á	760D	0	24935
·à	7609	0	24936
·â	761F	0	24937
·å	7621	0	24940
·è	7634	0	24943
·ê	7630	0	24944
·ë	763B	0	24945
·ì	7648	0	24947
·î	7646	0	24948
·ï	765C	0	24949
·ñ	7658	0	24950
·ó	7661	0	24951
·ò	7662	0	24952
·ô	7668	0	24953
·ö	7669	0	24954
·ú	7667	0	24956
·ù	766C	0	24957
·û	7670	0	24958
·†	7676	0	25122
·¢	767C	0	25124
·£	7680	0	25125
·§	7683	0	25126
·•	7688	0	25127
·¶	768B	0	25128
·®	7696	0	25130
·´	769A	0	25133
·≠	76B4	0	25135
·Æ	76B8	0	25136
·Ø	76B9	0	25137
·≤	76CD	0	25140
·≥	76D6	0	25141
·¥	76D2	0	25142
·∂	76E1	0	25144
·∫	862F	0	25148
·ª	76FB	0	25149
·º	7708	0	25150
·¿	7724	0	25154
·¡	771E	0	25155
·¬	7725	0	25156
·ƒ	771B	0	25158
·«	7747	0	25161
·À	775B	0	25165
·Õ	777F	0	25167
·œ	7779	0	25169
·–	778E	0	25170
·◊	77B9	0	25177
·⁄	77BD	0	25180
·‹	77C7	0	25182
·›	77CD	0	25183
·ﬁ	77D7	0	25184
·ﬂ	77DA	0	25185
·„	77FC	0	25189
·Á	7820	0	25193
·Ë	792A	0	25194
·È	7845	0	25195
·Í	788E	0	25196
·Î	7874	0	25197
·Ï	7886	0	25198
·Ì	787C	0	25199
·Ó	789A	0	25200
·	78A3	0	25202
·Ò	78B5	0	25203
·Ú	78AA	0	25204
·Û	78AF	0	25205
·Ù	78D1	0	25206
·ı	78C6	0	25207
·ˆ	78CB	0	25208
·¯	78BE	0	25210
·˘	78BC	0	25211
·˙	78C5	0	25212
·¸	78EC	0	25214
‚A	78DA	0	25378
‚C	78F4	0	25380
‚D	7907	0	25381
‚E	7912	0	25382
‚H	792C	0	25385
‚L	7957	0	25389
‚N	795A	0	25391
‚O	7955	0	25392
‚Q	797A	0	25394
‚R	797F	0	25395
‚S	798A	0	25396
‚T	799D	0	25397
‚U	79A7	0	25398
‚V	9F4B	0	25399
‚W	79AA	0	25400
‚X	79AE	0	25401
‚Y	79B3	0	25402
‚Z	79B9	0	25403
‚[	79BA	0	25404
‚\	79C9	0	25405
‚]	79D5	0	25406
‚^	79E7	0	25407
‚_	79EC	0	25408
‚`	79E1	0	25409
‚a	79E3	0	25410
‚d	7A18	0	25413
‚e	7A19	0	25414
‚f	7A20	0	25415
‚g	7A1F	0	25416
‚h	7980	0	25417
‚i	7A31	0	25418
‚j	7A3B	0	25419
‚k	7A3E	0	25420
‚l	7A37	0	25421
‚m	7A43	0	25422
‚n	7A57	0	25423
‚o	7A49	0	25424
‚p	7A61	0	25425
‚r	7A69	0	25427
‚s	9F9D	0	25428
‚t	7A70	0	25429
‚v	7A7D	0	25431
‚w	7A88	0	25432
‚x	7A97	0	25433
‚y	7A95	0	25434
‚~	7AB0	0	25439
‚Å	7AC5	0	25441
‚Ç	7AC4	0	25442
‚É	7ABF	0	25443
‚Ñ	9083	0	25444
‚Ö	7AC7	0	25445
‚á	7ACD	0	25447
‚à	7ACF	0	25448
‚â	7AD5	0	25449
‚ä	7AD3	0	25450
‚å	7ADA	0	25452
‚ç	7ADD	0	25453
‚é	7AE1	0	25454
‚è	7AE2	0	25455
‚í	7AF0	0	25458
‚ì	7B02	0	25459
‚ñ	7B06	0	25462
‚ò	7B18	0	25464
‚ô	7B19	0	25465
‚õ	7B35	0	25467
‚ù	7B36	0	25469
‚û	7B50	0	25470
‚ü	7B7A	0	25633
‚¢	7B0B	0	25636
‚£	7B4C	0	25637
‚§	7B45	0	25638
‚¶	7B65	0	25640
‚ß	7B74	0	25641
‚®	7B67	0	25642
‚©	7B70	0	25643
‚™	7B71	0	25644
‚´	7B6C	0	25645
‚¨	7B6E	0	25646
‚≠	7B9D	0	25647
‚Æ	7B98	0	25648
‚Ø	7B9F	0	25649
‚∞	7B8D	0	25650
‚±	7B9C	0	25651
‚≤	7B9A	0	25652
‚µ	7B8F	0	25655
‚∂	7B5D	0	25656
‚∑	7B99	0	25657
‚∏	7BCB	0	25658
‚∫	7BCC	0	25660
‚ª	7BCF	0	25661
‚º	7BB4	0	25662
‚¿	7C11	0	25666
‚¡	7C14	0	25667
‚¬	7BE6	0	25668
‚√	7BE5	0	25669
‚«	7C13	0	25673
‚»	7BF3	0	25674
‚ 	7C17	0	25676
‚À	7C0D	0	25677
‚Ã	7BF6	0	25678
‚Õ	7C23	0	25679
‚Œ	7C27	0	25680
‚–	7C1F	0	25682
‚“	7C2B	0	25684
‚”	7C3D	0	25685
‚‘	7C4C	0	25686
‚÷	7C54	0	25688
‚◊	7C4F	0	25689
‚ÿ	7C40	0	25690
‚⁄	7C58	0	25692
‚‹	7C64	0	25694
‚›	7C56	0	25695
‚ﬁ	7C65	0	25696
‚‡	7C75	0	25698
‚·	7C83	0	25699
‚‚	7C90	0	25700
‚„	7CA4	0	25701
‚‰	7CAD	0	25702
‚Â	7CA2	0	25703
‚Ê	7CAB	0	25704
‚Á	7CA1	0	25705
‚Ë	7CA8	0	25706
‚È	7CB3	0	25707
‚Ï	7CAE	0	25710
‚Ì	7CB9	0	25711
‚Ô	7CC0	0	25713
‚	7CC5	0	25714
‚Ò	7CC2	0	25715
‚Ú	7CD8	0	25716
‚Ù	7CDC	0	25718
‚ı	7CE2	0	25719
‚˜	7CEF	0	25721
‚¯	7CF2	0	25722
‚˘	7CF4	0	25723
‚¸	7D06	0	25726
„@	7D02	0	25889
„A	7D1C	0	25890
„B	7D15	0	25891
„D	7D45	0	25893
„E	7D4B	0	25894
„F	7D2E	0	25895
„G	7D32	0	25896
„H	7D3F	0	25897
„I	7D35	0	25898
„K	7D73	0	25900
„L	7D56	0	25901
„M	7D4E	0	25902
„P	7D6E	0	25905
„Q	7D4F	0	25906
„S	7D93	0	25908
„T	7D89	0	25909
„U	7D5B	0	25910
„V	7D8F	0	25911
„X	7D9B	0	25913
„Z	7DAE	0	25915
„[	7DA3	0	25916
„\	7DB5	0	25917
„_	7DAB	0	25920
„`	7E3D	0	25921
„a	7DA2	0	25922
„c	7DDC	0	25924
„e	7D9F	0	25926
„f	7DB0	0	25927
„h	7DDD	0	25929
„i	7DE4	0	25930
„p	7E23	0	25937
„r	7E12	0	25939
„s	7E31	0	25940
„u	7E09	0	25942
„x	7E46	0	25945
„y	7E66	0	25946
„z	7E3B	0	25947
„{	7E35	0	25948
„Ä	7E32	0	25952
„Ç	7E67	0	25954
„É	7E5D	0	25955
„Ñ	7E56	0	25956
„á	7E5A	0	25959
„â	7E6A	0	25961
„ä	7E69	0	25962
„ã	7E7C	0	25963
„ç	7E83	0	25965
„é	7DD5	0	25966
„è	7E7D	0	25967
„í	7E88	0	25970
„ì	7E89	0	25971
„î	7E8C	0	25972
„ñ	7E90	0	25974
„ó	7E93	0	25975
„ô	7E96	0	25977
„ö	7E8E	0	25978
„õ	7E9B	0	25979
„ú	7E9C	0	25980
„ù	7F38	0	25981
„û	7F3A	0	25982
„ü	7F45	0	26145
„°	7F4D	0	26147
„§	7F51	0	26150
„¶	7F54	0	26152
„ß	7F58	0	26153
„®	7F5F	0	26154
„™	7F68	0	26156
„¨	7F67	0	26158
„≠	7F78	0	26159
„Æ	7F82	0	26160
„∞	7F83	0	26162
„≥	7F8C	0	26165
„¥	7F94	0	26166
„∂	7F9D	0	26168
„∏	7FA3	0	26170
„∫	7FB2	0	26172
„º	7FAE	0	26174
„ø	8B71	0	26177
„¡	7FC6	0	26179
„¬	7FCA	0	26180
„∆	7FE6	0	26184
„«	7FE9	0	26185
„Õ	800B	0	26191
„Œ	8012	0	26192
„œ	8018	0	26193
„–	8019	0	26194
„—	801C	0	26195
„“	8021	0	26196
„”	8028	0	26197
„‘	803F	0	26198
„◊	8046	0	26201
„ÿ	8052	0	26202
„‹	8062	0	26206
„›	8068	0	26207
„ﬂ	8072	0	26209
„·	8076	0	26211
„‚	8079	0	26212
„„	807D	0	26213
„‰	807F	0	26214
„Â	8084	0	26215
„Á	8085	0	26217
„Ë	809B	0	26218
„È	8093	0	26219
„Ï	5190	0	26222
„Ì	80AC	0	26223
„Ó	80DB	0	26224
„	80D9	0	26226
„Ò	80DD	0	26227
„Ú	80C4	0	26228
„Ù	80D6	0	26230
„ı	8109	0	26231
„˜	80F1	0	26233
„˘	8129	0	26235
„˚	812F	0	26237
‰A	8146	0	26402
‰C	8153	0	26404
‰E	80FC	0	26406
‰F	8171	0	26407
‰I	8166	0	26410
‰J	8174	0	26411
‰L	8188	0	26413
‰M	818A	0	26414
‰N	8180	0	26415
‰Q	8195	0	26418
‰R	81A4	0	26419
‰S	81A3	0	26420
‰T	815F	0	26421
‰U	8193	0	26422
‰W	81B0	0	26424
‰X	81B5	0	26425
‰Y	81BE	0	26426
‰Z	81B8	0	26427
‰[	81BD	0	26428
‰_	81C9	0	26432
‰a	81D1	0	26434
‰c	81D8	0	26436
‰e	81DA	0	26438
‰f	81DF	0	26439
‰g	81E0	0	26440
‰h	81E7	0	26441
‰i	81FA	0	26442
‰j	81FB	0	26443
‰k	81FE	0	26444
‰m	8202	0	26446
‰n	8205	0	26447
‰p	820A	0	26449
‰q	820D	0	26450
‰s	8216	0	26452
‰t	8229	0	26453
‰u	822B	0	26454
‰v	8238	0	26455
‰x	8240	0	26457
‰y	8259	0	26458
‰{	825D	0	26460
‰|	825A	0	26461
‰}	825F	0	26462
‰~	8264	0	26463
‰Ä	8262	0	26464
‰Å	8268	0	26465
‰Ç	826A	0	26466
‰Ñ	822E	0	26468
‰Ü	8277	0	26470
‰ã	82AB	0	26475
‰å	829F	0	26476
‰ç	82BB	0	26477
‰è	82E1	0	26479
‰ê	82E3	0	26480
‰í	82D2	0	26482
‰ì	82F4	0	26483
‰î	82F3	0	26484
‰ï	82FA	0	26485
‰ñ	8393	0	26486
‰ò	82FB	0	26488
‰ô	82F9	0	26489
‰ö	82DE	0	26490
